disease_names,mut_type,count
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome",SNP,229
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome",DEL,19
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome",INS,18
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;Inborn_genetic_diseases",SNP,8
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;Inborn_genetic_diseases",DEL,1
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;Inborn_genetic_diseases;SERAC1-related_disorder",SNP,1
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;SERAC1-related_disorder",SNP,6
ACTB-related_disorder;Baraitser-Winter_syndrome_1;Developmental_malformations-deafness-dystonia_syndrome,SNP,4
ACTB-related_disorder;Developmental_malformations-deafness-dystonia_syndrome;Baraitser-Winter_syndrome_1,SNP,2
ACTG1-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_20;Baraitser-winter_syndrome_2,SNP,12
ACTG1-related_disorder;Baraitser-winter_syndrome_2;Autosomal_dominant_nonsyndromic_hearing_loss_20,SNP,9
"ATP6V0A4-related_disorder;Renal_tubular_acidosis,_distal,_3,_with_or_without_sensorineural_hearing_loss",SNP,4
ATP6V1B1-related_disorder;Renal_tubular_acidosis_with_progressive_nerve_deafness,SNP,8
"Abnormal_cerebral_white_matter_morphology;Abnormal_pyramidal_sign;Congenital_sensorineural_hearing_impairment;Progressive_cerebellar_ataxia;Optic_neuropathy;Deafness,_congenital,_and_adult-onset_progressive_leukoencephalopathy;Autosomal_recessive_nonsyndromic_hearing_loss_89",SNP,1
"Abnormal_pyramidal_sign;Congenital_sensorineural_hearing_impairment;Progressive_cerebellar_ataxia;Abnormal_cerebral_white_matter_morphology;Optic_neuropathy;KARS-related_disorder;Leukoencephalopathy,_progressive,_infantile-onset,_with_or_without_deafness;Deafness,_congenital,_and_adult-onset_progressive_leukoencephalopathy;LEUKOENCEPHALOPATHY,_PROGRESSIVE,_INFANTILE-ONSET,_WITH_DEAFNESS;Inborn_genetic_diseases;Autosomal_recessive_nonsyndromic_hearing_loss_89;Hearing_loss,_autosomal_recessive;Charcot-Marie-Tooth_disease_recessive_intermediate_B;KARS1-related_disorder",SNP,1
"Abortive_cerebellar_ataxia;Glaucoma,_normal_tension,_susceptibility_to;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Autosomal_dominant_optic_atrophy_classic_form",SNP,1
"Abortive_cerebellar_ataxia;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Autosomal_dominant_optic_atrophy_classic_form;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy",SNP,1
"Abortive_cerebellar_ataxia;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Autosomal_dominant_optic_atrophy_classic_form;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type)",SNP,1
"Abortive_cerebellar_ataxia;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Autosomal_dominant_optic_atrophy_classic_form;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Inborn_genetic_diseases",SNP,1
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness,SNP,11
