disease_names,tt,count
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome",transition,166
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome",transversion,63
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;Inborn_genetic_diseases",transition,6
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;Inborn_genetic_diseases",transversion,2
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;Inborn_genetic_diseases;SERAC1-related_disorder",transversion,1
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;SERAC1-related_disorder",transition,4
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;SERAC1-related_disorder",transversion,2
ACTB-related_disorder;Baraitser-Winter_syndrome_1;Developmental_malformations-deafness-dystonia_syndrome,transition,2
ACTB-related_disorder;Baraitser-Winter_syndrome_1;Developmental_malformations-deafness-dystonia_syndrome,transversion,2
ACTB-related_disorder;Developmental_malformations-deafness-dystonia_syndrome;Baraitser-Winter_syndrome_1,transition,2
ACTG1-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_20;Baraitser-winter_syndrome_2,transition,11
ACTG1-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_20;Baraitser-winter_syndrome_2,transversion,1
ACTG1-related_disorder;Baraitser-winter_syndrome_2;Autosomal_dominant_nonsyndromic_hearing_loss_20,transition,8
ACTG1-related_disorder;Baraitser-winter_syndrome_2;Autosomal_dominant_nonsyndromic_hearing_loss_20,transversion,1
"ATP6V0A4-related_disorder;Renal_tubular_acidosis,_distal,_3,_with_or_without_sensorineural_hearing_loss",transition,4
ATP6V1B1-related_disorder;Renal_tubular_acidosis_with_progressive_nerve_deafness,transition,7
ATP6V1B1-related_disorder;Renal_tubular_acidosis_with_progressive_nerve_deafness,transversion,1
"Abnormal_cerebral_white_matter_morphology;Abnormal_pyramidal_sign;Congenital_sensorineural_hearing_impairment;Progressive_cerebellar_ataxia;Optic_neuropathy;Deafness,_congenital,_and_adult-onset_progressive_leukoencephalopathy;Autosomal_recessive_nonsyndromic_hearing_loss_89",transversion,1
"Abnormal_pyramidal_sign;Congenital_sensorineural_hearing_impairment;Progressive_cerebellar_ataxia;Abnormal_cerebral_white_matter_morphology;Optic_neuropathy;KARS-related_disorder;Leukoencephalopathy,_progressive,_infantile-onset,_with_or_without_deafness;Deafness,_congenital,_and_adult-onset_progressive_leukoencephalopathy;LEUKOENCEPHALOPATHY,_PROGRESSIVE,_INFANTILE-ONSET,_WITH_DEAFNESS;Inborn_genetic_diseases;Autosomal_recessive_nonsyndromic_hearing_loss_89;Hearing_loss,_autosomal_recessive;Charcot-Marie-Tooth_disease_recessive_intermediate_B;KARS1-related_disorder",transition,1
