disease_names,where,count
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome",center,266
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;Inborn_genetic_diseases",center,9
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;Inborn_genetic_diseases;SERAC1-related_disorder",center,1
"3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome;SERAC1-related_disorder",center,6
ACTB-related_disorder;Baraitser-Winter_syndrome_1;Developmental_malformations-deafness-dystonia_syndrome,center,4
ACTB-related_disorder;Developmental_malformations-deafness-dystonia_syndrome;Baraitser-Winter_syndrome_1,center,2
ACTG1-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_20;Baraitser-winter_syndrome_2,center,12
ACTG1-related_disorder;Baraitser-winter_syndrome_2;Autosomal_dominant_nonsyndromic_hearing_loss_20,center,9
"ATP6V0A4-related_disorder;Renal_tubular_acidosis,_distal,_3,_with_or_without_sensorineural_hearing_loss",center,4
ATP6V1B1-related_disorder;Renal_tubular_acidosis_with_progressive_nerve_deafness,center,8
"Abnormal_cerebral_white_matter_morphology;Abnormal_pyramidal_sign;Congenital_sensorineural_hearing_impairment;Progressive_cerebellar_ataxia;Optic_neuropathy;Deafness,_congenital,_and_adult-onset_progressive_leukoencephalopathy;Autosomal_recessive_nonsyndromic_hearing_loss_89",center,1
"Abnormal_pyramidal_sign;Congenital_sensorineural_hearing_impairment;Progressive_cerebellar_ataxia;Abnormal_cerebral_white_matter_morphology;Optic_neuropathy;KARS-related_disorder;Leukoencephalopathy,_progressive,_infantile-onset,_with_or_without_deafness;Deafness,_congenital,_and_adult-onset_progressive_leukoencephalopathy;LEUKOENCEPHALOPATHY,_PROGRESSIVE,_INFANTILE-ONSET,_WITH_DEAFNESS;Inborn_genetic_diseases;Autosomal_recessive_nonsyndromic_hearing_loss_89;Hearing_loss,_autosomal_recessive;Charcot-Marie-Tooth_disease_recessive_intermediate_B;KARS1-related_disorder",center,1
"Abortive_cerebellar_ataxia;Glaucoma,_normal_tension,_susceptibility_to;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Autosomal_dominant_optic_atrophy_classic_form",center,1
"Abortive_cerebellar_ataxia;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Autosomal_dominant_optic_atrophy_classic_form;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy",center,1
"Abortive_cerebellar_ataxia;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Autosomal_dominant_optic_atrophy_classic_form;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type)",center,1
"Abortive_cerebellar_ataxia;Optic_atrophy_with_or_without_deafness,_ophthalmoplegia,_myopathy,_ataxia,_and_neuropathy;Autosomal_dominant_optic_atrophy_classic_form;Mitochondrial_DNA_depletion_syndrome_14_(cardioencephalomyopathic_type);Inborn_genetic_diseases",center,1
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness,center,18
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness;Inborn_genetic_diseases,center,1
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Aminoglycoside-induced_deafness;TRMU-related_disorder,center,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;GATA2_deficiency_with_susceptibility_to_MDS/AML,center,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,center,7
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Inborn_genetic_diseases,center,4
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome,center,2
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome;GATA2_deficiency_with_susceptibility_to_MDS/AML,center,1
Acute_myeloid_leukemia;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome;Hereditary_cancer-predisposing_syndrome;Inborn_genetic_diseases,center,1
Acute_myeloid_leukemia;GATA2-related_disorder;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,center,1
Acute_myeloid_leukemia;GATA2_deficiency_with_susceptibility_to_MDS/AML;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,center,1
Acute_myeloid_leukemia;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections,center,2
Acute_myeloid_leukemia;Inborn_genetic_diseases;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Myelodysplastic_syndrome,center,2
Acute_myeloid_leukemia;Monocytopenia_with_susceptibility_to_infections;Deafness-lymphedema-leukemia_syndrome,center,3
Acute_myeloid_leukemia;Myelodysplastic_syndrome;Deafness-lymphedema-leukemia_syndrome;Monocytopenia_with_susceptibility_to_infections;Hereditary_cancer;Inborn_genetic_diseases,center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Cardiovascular_phenotype",center,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",center,4
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Cardiovascular_phenotype",center,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",center,10
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Cardiovascular_phenotype",center,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Congenital_anomaly_of_kidney_and_urinary_tract",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;JAG1-related_disorder",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;JAG1-related_disorder;Cardiovascular_phenotype",center,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,18
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Cardiovascular_phenotype",center,8
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Isolated_Nonsyndromic_Congenital_Heart_Disease",center,4
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Isolated_Nonsyndromic_Congenital_Heart_Disease;Cardiovascular_phenotype",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;JAG1-related_disorder",center,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",center,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Cardiovascular_phenotype",center,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",center,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;JAG1-related_disorder;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",center,4
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Arteriohepatic_dysplasia",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Cardiovascular_phenotype",center,3
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Isolated_Nonsyndromic_Congenital_Heart_Disease;Cardiovascular_phenotype",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Retinal_dystrophy",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,19
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Cardiovascular_phenotype",center,2
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;JAG1-related_disorder;Cardiovascular_phenotype",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Conotruncal_heart_malformations",center,1
"Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;JAG1-related_disorder",center,1
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness,center,8
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness;Congenital_anomaly_of_kidney_and_urinary_tract;Inborn_genetic_diseases,center,1
Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities;Sinoatrial_node_dysfunction_and_deafness;Inborn_genetic_diseases,center,1
Alport_syndrome,center,1
"Alport_syndrome;Autosomal_recessive_Alport_syndrome;Benign_familial_hematuria;Hematuria,_benign_familial,_1;Hematuria;Hearing_impairment;Myopia;Proteinuria;Hypertensive_disorder",center,1
"Alport_syndrome_3b,_autosomal_recessive;Autosomal_dominant_Alport_syndrome;Hematuria,_benign_familial,_2;Hearing_impairment",center,1
Alveolar_rhabdomyosarcoma;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_1;Waardenburg_syndrome_type_3,center,1
Alveolar_rhabdomyosarcoma;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_3;Waardenburg_syndrome_type_1;Inborn_genetic_diseases,center,1
Alveolar_rhabdomyosarcoma;Waardenburg_syndrome_type_1;Craniofacial-deafness-hand_syndrome;Waardenburg_syndrome_type_3,center,1
Aminoglycoside-induced_deafness,center,49
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins,center,19
Aminoglycoside-induced_deafness;Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins;Inborn_genetic_diseases,center,1
